,name,allsides_page,bias,agree,disagree,agree_ratio,agreeance_text,website,total_votes
24,New York Post (News),https://www.allsides.com/news-source/new-york-post,right-center,13645,7347,1.8572206342724922,agrees,http://www.nypost.com/,20992
25,New York Times (News),https://www.allsides.com/news-source/new-york-times,left-center,28333,38181,0.7420706634189781,somewhat disagrees,http://www.nytimes.com/,66514
26,New York Times (Opinion),https://www.allsides.com/news-source/new-york-times-opinion-media-bias,left,13825,3738,3.6985018726591763,absolutely agrees,https://www.nytimes.com/section/opinion,17563
27,NPR (Online News),https://www.allsides.com/news-source/npr-media-bias,center,31116,29093,1.0695356271268,somewhat agrees,http://www.npr.org/,60209
28,NPR (Opinion),https://www.allsides.com/news-source/npr-editorial,left-center,8058,9062,0.8892076804237471,somewhat disagrees,https://www.npr.org/sections/opinion/,17120
29,Politico,https://www.allsides.com/news-source/politico-media-bias,left-center,22977,29780,0.77155809267965,somewhat disagrees,http://www.politico.com/,52757
30,Reason,https://www.allsides.com/news-source/reason,right-center,9198,5608,1.640156918687589,agrees,http://reason.com/,14806
31,Reuters,https://www.allsides.com/news-source/reuters,center,17533,9716,1.8045491972004941,agrees,http://www.reuters.com/,27249
32,Slate,https://www.allsides.com/news-source/slate,left,9221,3411,2.703312811492231,strongly agrees,https://slate.com/,12632
33,The American Spectator,https://www.allsides.com/news-source/american-spectator,right,11748,4089,2.873074101247248,strongly agrees,http://spectator.org/,15837
34,The Atlantic,https://www.allsides.com/news-source/atlantic,left-center,14106,7627,1.8494821030549362,agrees,http://www.theatlantic.com/,21733
35,The Daily Caller,https://www.allsides.com/news-source/daily-caller,right,9666,3873,2.495739736638265,strongly agrees,http://dailycaller.com/,13539
36,The Daily Wire,https://www.allsides.com/news-source/daily-wire,right,10135,3653,2.77443197372023,strongly agrees,http://www.dailywire.com/,13788
37,The Economist,https://www.allsides.com/news-source/economist,left-center,5621,9661,0.5818238277611011,disagrees,http://www.economist.com/,15282
38,The Epoch Times,https://www.allsides.com/news-source/epoch-times-media-bias,right-center,10955,5087,2.153528602319638,strongly agrees,https://www.theepochtimes.com,16042
39,The Federalist,https://www.allsides.com/news-source/federalist,right,8769,2690,3.259851301115241,absolutely agrees,http://thefederalist.com/,11459
40,The Guardian,https://www.allsides.com/news-source/guardian,left-center,13141,7916,1.660055583628095,agrees,https://www.theguardian.com/us,21057
41,The Hill,https://www.allsides.com/news-source/hill-media-bias,center,15589,20700,0.753091787439613,somewhat disagrees,https://www.thehill.com,36289
42,The Intercept,https://www.allsides.com/news-source/intercept,left,5255,1502,3.4986684420772303,absolutely agrees,https://theintercept.com,6757
43,The New Yorker,https://www.allsides.com/news-source/new-yorker,left,9054,2160,4.191666666666666,absolutely agrees,https://www.newyorker.com/,11214
44,TheBlaze.com,https://www.allsides.com/news-source/theblaze-bias,right,98201,79485,1.235465811159338,somewhat agrees,http://www.theblaze.com/,177686
45,Time Magazine,https://www.allsides.com/news-source/time-magazine-news-media-bias,left-center,9110,7605,1.197896120973044,somewhat agrees,http://www.time.com/time/,16715
46,USA TODAY,https://www.allsides.com/news-source/usa-today-media-bias,left-center,17903,20333,0.8804898440958041,somewhat disagrees,,38236
47,Vox,https://www.allsides.com/news-source/vox-news-media-bias,left,28824,14888,1.936055883933369,agrees,http://www.vox.com,43712
48,Wall Street Journal (News),https://www.allsides.com/news-source/wall-street-journal-media-bias,center,21378,24456,0.87414131501472,somewhat disagrees,http://online.wsj.com/,45834
49,Wall Street Journal (Opinion),https://www.allsides.com/news-source/wall-street-journal-opinion,right-center,10702,7201,1.486182474656297,somewhat agrees,http://online.wsj.com/public/page/news-opinion-commentary.html,17903
